title,author,rating,description,genre,genres,cover_id,first_publish_year,edition_count
Lilith,George MacDonald,4.0,"Lilith, written by the father of fantasy literature, George MacDonald, was first published in 1895. Its importance was recognized in its later revival in paperback by Ballantine Books as the fifth volume of the celebrated Ballantine Adult Fantasy series in September, 1969. Lilith is considered among the darkest of MacDonald's works, and among the most profound. It is a story concerning the nature of life, death and salvation. Many believe MacDonald is arguing for Christian universalism, or the idea that all will eventually be saved.","Fiction, general","['Fiction, general', 'Non-Classifiable', 'General', 'Christian fiction']",14364546.0,1895,403
The Sea Fairies,L. Frank Baum,4.0,"This is a tale of life beneath the sea, of mermaids and sea serpents and other strange inhabitants of the ocean depths. A little girl named Trot and Cap'n Bill, an old sailor, are invited by several mermaids to come and visit their under-water home. Baum wrote this story in the hope of interesting his readers in something other than Oz; in the preface he writes: ""I hope my readers who have so long followed Dorothy's adventures in the Land of Oz will be interested in Trot's equally strange experiences."" Of course, he did not succeed in distracting his fans from Oz, yet the book was eagerly read; the result of this attempt was that he was forced to introduce Trot and Cap'n Bill into the later Oz stories.",Children's stories,"[""Children's stories"", 'Juvenile fiction', 'Classic Literature', 'Fiction', ""Children's fiction"", 'Fantasy fiction', 'Fantasy']",1814237.0,1911,528
The Phoenix and the Carpet,Edith Nesbit,4.0,"Five British children discover in their new carpet an egg, which hatches into a phoenix that takes them on a series of fantastic adventures around the world.",Magic,"['Magic', 'Juvenile fiction', 'Fiction', 'Mythical Animals', 'History', ""Children's fiction"", 'Fantasy fiction', 'Carpets', 'Fantasy', 'Siblings', 'Children, fiction', 'Magic, fiction', 'Fiction, general', 'Great Britain']",902122.0,1903,436
The Enchanted Castle,Edith Nesbit,4.0,"E. Nesbit's classic story of how Gerald, Cathy and Jimmy find an enchanted garden and awake a princess from a hundred-year sleep, only to have her immediately made invisible by a magic ring. Her rescue is difficult, funny and sometimes frightening.",Fiction,"['Fiction', 'Fantasy', 'Magic', 'Rings', 'Friendship', 'History', 'England', 'Wishes', 'Juvenile fiction', ""Children's fiction"", 'Fantasy fiction', 'Castles', ""Children's stories"", 'Castles, fiction', 'Magic, fiction', 'Friendship, fiction', 'Children', 'England, fiction', 'Fiction, general']",6644514.0,1907,477
Carmilla,Joseph Sheridan Le Fanu,4.0,https://openlibrary.org/works/OL2895536W,Fiction,"['Fiction', 'Lesbians', 'Vampires', 'Fiction, horror', 'Austria, fiction', 'Vampires, fiction', 'Gothic Fiction', 'Horror', 'Ireland, fiction', 'Vampires--fiction', '823/.8', 'English fiction', 'Horror tales']",973851.0,1871,267
Peter Pan,J. M. Barrie,4.0,"The adventures of the three Darling children in Never-Never Land with Peter Pan, the boy who would not grow up.",Pop-up books,"['Pop-up books', 'Specimens', 'Juvenile fiction', 'Fiction', 'open_syllabus_project', ""Children's stories"", 'Classic Literature', 'Drama', 'Fantasy', 'Pirates', ""Children's plays"", 'Fairy plays', 'Fairies', ""Children's fiction"", 'Fantasy fiction', 'English literature', 'Boys', 'nyt:picture-books=2008-11-23', 'Youth, fiction', 'Plays', 'Pirates, fiction', 'Imaginary societies', 'Classics', 'Fiction, general', 'Fairies, fiction']",8237052.0,1911,428
Dracula,Bram Stoker,4.0,"Sink your teeth into the ageless tale of the famous vampire Count Dracula.

Dracula first horrified readers over 125 years ago. Today, this original gothic masterpiece includes a detailed exploration into the 1897 classic vampire novel and its author, Bram Stoker.

In this bonus introduction,

Learn about Stoker’s early life, his colorful career, and the famous friends he made leading up to the creation of his magnum opus, Dracula.
Tune into the speculative theories of Stoker’s personal life and his deeply repressed homosexual tendencies.
Delve deep into the folklore and mysticism that inspired Dracula, the masterful work itself, and the lasting impact it continues to have on pop culture.
This annotated introduction accompanying this classic novel is essential for all fans of Bram Stoker’s Dracula. I welcome you, the reader, as Count Dracula beckoned Jonathan Harker:

“Welcome to my house. Enter freely and at your own free will.”",English language,"['English language', 'English literature', 'Fiction', 'Horror', 'Horror stories', 'Horror tales', 'Monsters', 'Thriller', 'Vampires', 'Horror fiction', 'Irish authors', 'Epistolary novels', 'Romanians', 'British', 'Psychological fiction', 'Transylvania (Romania)', ""Children's fiction"", 'Romania, fiction', 'England, fiction', 'Vampires, fiction', 'Fiction, horror', 'Adaptations', 'Fiction, gothic', 'Dictionaries', 'French', 'German', 'Spanish', 'Juvenile fiction', ""Children's stories"", 'Literature', 'Fiction, psychological', 'Vampiros', 'Novela', 'Fiction, ghost', 'Irish fiction', 'Dracula (Stoker)', 'Literary criticism', 'Gothic literature', 'l', 'Report writing', 'Drama', 'Science fiction', 'Romans, nouvelles', 'Classics', 'Temples', 'Legends', 'Religion']",12216503.0,1897,730
Phantastes,George MacDonald,4.0,"One of George MacDonald's most important works, Phantastes is the story of a young man named Anotos and his long dreamlike journey in Fairy Land. It is the fairy tale of deep spiritual insight as Anotos makes his way through moments of uncertainty and peril and mistakes that can have irreversible consequences. This is also his spiritual quest that is destined to end with the supreme surrender of the self. When he finally experiences the hard-won surrender, a wave of joy overwhelms him. His intense personal introspection is honest as he is offered the full range of symbolic choices--great beauty, horrifying ugliness, irritating goblins, nurturing spirits. Each confrontation in Fairy Land allows Anotos to learn many necessary lessons. As he continues on the journey, many shadowy beings threaten his spiritual well-being and compel him to sing. The songs are irresistible to a beautiful White Lady who is freed from inside a statue by the music, and Anotos remains captivated by her for a long time. He sees the world more objectively; his trek invites a natural descent into feelings of pride and egotism. But his losses and sorrows coalesce themselves into things of grace, and these experiences help his spiritual growth.     Please Note:  This book has been reformatted to be easy to read in true text, not scanned images that can sometimes be difficult to decipher.  The Microsoft eBook has a contents page linked to the chapter headings for easy navigation. The Adobe eBook has bookmarks at chapter headings and is printable up to two full copies per year.  Both versions are text searchable.",Fairy tales,"['Fairy tales', 'Classic Literature', 'Fantasy', 'Fiction', 'English literature', 'Fairies', 'Scottish authors', 'Fantasy fiction', 'Fiction, general']",14358814.0,1850,417
The Book of Dragons,Edith Nesbit,4.0,"Eight madcap tales of unpredictable dragons — including one made of ice, another that takes refuge in the General Post Office, and a fire-breathing monster that flies out of an enchanted book and eats an entire soccer team! Marvelous adventure and excitement for make-believers of all ages.",Juvenile fiction,"['Juvenile fiction', 'Fiction', 'Fairy tales', 'Dragons', 'Short stories', ""Children's fiction"", 'Dragons, fiction', ""Children's stories"", 'Fiction, general']",4342323.0,1973,705
The princess and the goblin,George MacDonald,4.0,A little princess is protected by her friend Curdie who knows how to frighten the goblin miners who live beneath the castle.,Fairy tales,"['Fairy tales', 'Princesses', 'Fiction', 'Goblins']",13192917.0,1907,430
